t,S(t),I(t),R(t),N
35,146069743.19961596,647743.3139311231,82513.48645292153,146800000.0
36,145816190.34018216,871739.7503783951,112069.90943944955,146800000.0
37,145475497.8884004,1171980.7615665183,152521.350033076,146800000.0
38,145018444.2370652,1573436.7833213892,208118.97961341473,146800000.0
39,144406592.4408607,2108468.469920383,284939.0892189285,146800000.0
40,143589850.85369125,2818382.5678021368,391766.57850661315,146800000.0
41,142503764.53507957,3754790.872858188,541444.5920622433,146800000.0
42,141066841.4065249,4980233.195353122,752925.398121981,146800000.0
43,139178545.34646997,6567123.1064934395,1054331.547036592,146800000.0
44,136719089.39659777,8593548.672226068,1487361.9311761595,146800000.0
45,133552819.63804114,11133946.502777267,2113233.859181594,146800000.0
46,129537626.95789002,14242560.887433898,3019812.1546760835,146800000.0
47,124542994.60629314,17928677.00417342,4328328.389533438,146800000.0
48,118478112.23776233,22125917.13090166,6195970.631336007,146800000.0
49,111327895.65655647,26663894.63729813,8808209.706145398,146800000.0
50,103188464.50168516,31257374.17878958,12354161.319525264,146800000.0
51,94286930.51151289,35530038.905154526,16983030.583332583,146800000.0
52,84969018.15806112,39079707.87828113,22751273.96365775,146800000.0
53,75648059.67817318,41569177.116021745,29582763.20580507,146800000.0
54,66728529.81467926,42806146.64433694,37265323.540983796,146800000.0
55,58533258.849233225,42776846.02623661,45489895.12453017,146800000.0
56,51261622.493909225,41623629.949054904,53914747.55703587,146800000.0
57,44987425.24698044,39586018.50759603,62226556.245423526,146800000.0
58,39685611.948623225,36935658.65339445,70178729.39798233,146800000.0
59,35269384.13112621,33927017.932000466,77603597.93687332,146800000.0
60,31623488.08892966,30770515.003983933,84405996.90708642,146800000.0
61,28627565.455965973,27624329.849814944,90548104.69421908,146800000.0
62,26169527.634484384,24597692.425372947,96032779.94014268,146800000.0
63,24151532.330714546,21759357.752812587,100889109.91647285,146800000.0
64,22491417.187251978,19147231.089792274,105161351.72295573,146800000.0
65,21121769.680140827,16777100.714374103,108901129.60548508,146800000.0
66,19988010.58376618,14649727.937294908,112162261.4789389,146800000.0
67,19046249.894506197,12756227.551176064,114997522.55431774,146800000.0
68,18261279.2028649,11081964.249225425,117456756.54790968,146800000.0
69,17604841.26404612,9609272.303716442,119585886.43223745,146800000.0
70,17054203.88724003,8319291.169248452,121426504.94351153,146800000.0
71,16591014.295132127,7193160.349086588,123015825.35578129,146800000.0
72,16200392.008136857,6212762.077378774,124386845.91448437,146800000.0
73,15870215.992407555,5361151.895760655,125568632.11183178,146800000.0
74,15590566.163471945,4622778.365491576,126586655.4710365,146800000.0
75,15353285.817799808,3983563.669807567,127463150.51239263,146800000.0
76,15151638.092263954,3430895.188548033,128217466.71918802,146800000.0
77,14980035.298962196,2953562.527816471,128866402.17322133,146800000.0
78,14833824.72370679,2541663.4201022866,129424511.85619093,146800000.0
79,14709118.248094527,2186494.1419323436,129904387.60997313,146800000.0
80,14602656.092732102,1880434.6915091367,130316909.21575876,146800000.0
81,14511697.238906771,1616835.2400918286,130671467.5210014,146800000.0
82,14433930.812015574,1389907.8216429923,130976161.36634143,146800000.0
83,14367404.023920551,1194625.5014023404,131237970.47467712,146800000.0
84,14310463.27056905,1026630.114895953,131462906.61453499,146800000.0
